Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
air-force-marathon,Air Force Marathon Personalized Race Print,"<p><em>*Disclaimer: This artwork is an independent commemorative piece and is not affiliated with or endorsed by the Air Force Marathon.</em></p>
<p>Trackstar's Air Force Marathon print is a customizable print featuring your runner's name, official time, pace, and race-day weather.</p>
<p>This thoughtful and beautifully made race print is the best and easiest way to show your runner that you love them.</p>
<p>Each print is personalized with:</p>
<ul class=""nml__editor__content__bullet__list"">
<li class=""nml__editor__content__listItem"">
<p><span></span>The runner’s name, bib number, finish time, pace</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>The official race date</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>Actual race-day weather</p>
</li>
<li class=""nml__editor__content__listItem"">
<p><span></span>And a beautifully illustrated race course map</p>
</li>
</ul>",Artelo,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","personalized, YGroup_personalized",true,Size,8x10,,Frame,Unframed,,,,,95j11j39p31-s1p-8x10-unf-am,96.932689469,,continue,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,1,"",false,,,,,,,,,,,,,,,'58,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,true,,,true,,,active
air-force-marathon,,,,,,,,,8x10,,,Natural Oak,,,,,95j11j39p31-s1p-8x10-na-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/77e35e01-3298-4142-9cd2-52322e50f611.preview.lg.jpg?v=1759280921,2,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,8x10,,,Black Oak,,,,,95j11j39p31-s1p-8x10-bl-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/431430ed-dbaa-4a49-8e8b-42d68e7cf9c3.preview.lg.jpg?v=1759280921,3,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,12x18,,,Unframed,,,,,95j11j39p31-s1p-12x18-unf-am,196.496214684,,continue,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/d8f6018f-b12a-42dc-80a0-b430c8867c2a.preview.lg.jpg?v=1759280921,4,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,12x18,,,Natural Oak,,,,,95j11j39p31-s1p-12x18-na-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/8f48c1a0-3062-4232-b7bd-c69f6e3c484f.preview.lg.jpg?v=1759280921,5,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,12x18,,,Black Oak,,,,,95j11j39p31-s1p-12x18-bl-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/ed5e2c3b-9083-435b-8cbe-82bcb2a772a1.preview.lg.jpg?v=1759280921,6,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,16x24,,,Unframed,,,,,95j11j39p31-s1p-16x24-unf-am,221.398435797,,continue,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/ab7c9033-a71e-4047-b820-e9118a5971bb.preview.lg.jpg?v=1761148091,7,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,16x24,,,Natural Oak,,,,,95j11j39p31-s1p-16x24-na-pok-am,3232.117791672,,continue,manual,190.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,16x24,,,Black Oak,,,,,95j11j39p31-s1p-16x24-bl-pok-am,3232.117791672,,continue,manual,190.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
air-force-marathon,,,,,,,,,24x36,,,Unframed,,,,,95j11j39p31-s1p-24x36-unf-am,326.631865637,,continue,manual,120.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/20b63825-20c4-4a1a-b13f-f8fa3230e1d4.preview.lg.jpg?v=1759280921,lb,,,,,,,,,
